prub,Fcislo,lok,Lokcode,loctyp,klimabox,Otemp_act,Oprec_act,TreatTemo,TreatPrec,Tmcomb,Treatment,length,weight,SRzL,,changeTc,changeMc,changemerged,changeT,changeM,SRzL,Total biomass,Total biomass log,Aboveground,koreny-vaha,rhi-del,rhi-vah,biomass excluding rhizome,total ramets,ramets per unit length,1odnoze extra-pocet,ext ramets per length,logext ramets per length
1,653,Fau,T3_M1,LOW1,C,3,1,1,1,11,Cold_Dry,25.3,0.077,328.5714286,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,328.5714286,3.027,0.701308885,0.374,2.164,25.3,0.077,2.95,14,0.553359684,0,0.001,0.000434077
3,297,Skje,T1_M4,ALP4,C,1,4,1,1,11,Cold_Dry,35.7,0.0955,373.8219895,Mc,Tc0,Mc-3,Tc0_Mc-3,0,-3,373.8219895,2.7535,0.677013498,0.387,1.745,35.7,0.0955,2.658,10,0.280112045,0,0.001,0.000434077
6,418,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,43.4,0.0884,490.9502262,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,490.9502262,2.9144,0.691470502,0.354,1.852,43.4,0.0884,2.826,10,0.230414747,0,0.001,0.000434077
9,658,Fau,T3_M1,LOW1,C,3,1,1,1,11,Cold_Dry,5,0.0099,505.0505051,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,505.0505051,2.8869,0.689033452,0.41,1.861,5,0.0099,2.877,12,2.4,0,0.001,0.000434077
11,306,Skje,T1_M4,ALP4,C,1,4,1,1,11,Cold_Dry,9,0.0271,332.103321,Mc,Tc0,Mc-3,Tc0_Mc-3,0,-3,332.103321,3.6701,0.753590718,0.582,2.312,9,0.0271,3.643,12,1.333333333,0,0.001,0.000434077
13,677,Fau,T3_M1,LOW1,C,3,1,1,1,11,Cold_Dry,12,0.0327,366.9724771,Mc,Tc-2,Mc0,Tc-2_Mc0,-2,0,366.9724771,2.7157,0.673546169,0.32,1.845,12,0.0327,2.683,8,0.666666667,0,0.001,0.000434077
14,425,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,6,0.0166,361.4457831,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,361.4457831,3.8346,0.766011088,0.737,2.671,6,0.0166,3.818,12,2,0,0.001,0.000434077
16,552,Ulv,T1_M1,ALP1,C,1,1,1,1,11,Cold_Dry,16.8,0.0326,515.3374233,Mc,Tc0,Mc0,Tc0_Mc0,0,0,515.3374233,1.4956,0.543521731,0.152,1.048,16.8,0.0326,1.463,7,0.416666667,0,0.001,0.000434077
18,430,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,9.2,0.008,1150,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,1150,2.739,0.675686709,0.146,2.19,9.2,0.008,2.731,8,0.869565217,0,0.001,0.000434077
22,431,Ovst,T3_M4,LOW4,C,3,4,1,1,11,Cold_Dry,61.6,0.1036,594.5945946,Mc,Tc-2,Mc-3,Tc-2_Mc-3,-2,-3,594.5945946,2.0336,0.605692828,0.315,1.239,61.6,0.1036,1.93,14,0.227272727,0,0.001,0.000434077
